year;avg_temp;avg_temp_3sma;;Decade;Avg Temp per 10 yrs
1832;7.45;;;1832;7.671
1833;8.01;;;1842;7.728
1834;8.15;;;1852;7.744
1835;7.39;7.87;;1862;7.694
1836;7.7;7.85;;1872;7.74
1837;7.38;7.746666667;;1882;7.825
1838;7.51;7.49;;1892;7.896
1839;7.63;7.53;;1902;7.943
1840;7.8;7.506666667;;1912;7.978
1841;7.69;7.646666667;;1922;7.988
1842;8.02;7.706666667;;1932;8.037
1843;8.17;7.836666667;;1942;8.045
1844;7.65;7.96;;1952;8.032
1845;7.85;7.946666667;;1962;8.088
1846;8.55;7.89;;1972;8.114
1847;8.09;8.016666667;;1982;8.059
1848;7.98;8.163333333;;1992;8.026
1849;7.98;8.206666667;;2002;8.038
1850;7.9;8.016666667;;2012;8.065
1851;8.18;7.953333333;;;
1852;8.1;8.02;;;
1853;8.04;8.06;;;
1854;8.21;8.106666667;;;
1855;8.11;8.116666667;;;
1856;8;8.12;;;
1857;7.76;8.106666667;;;
1858;8.1;7.956666667;;;
1859;8.25;7.953333333;;;
1860;7.96;8.036666667;;;
1861;7.85;8.103333333;;;
1862;7.56;8.02;;;
1863;8.11;7.79;;;
1864;7.98;7.84;;;
1865;8.18;7.883333333;;;
1866;8.29;8.09;;;
1867;8.44;8.15;;;
1868;8.25;8.303333333;;;
1869;8.43;8.326666667;;;
1870;8.2;8.373333333;;;
1871;8.12;8.293333333;;;
1872;8.19;8.25;;;
1873;8.35;8.17;;;
1874;8.43;8.22;;;
1875;7.86;8.323333333;;;
1876;8.08;8.213333333;;;
1877;8.54;8.123333333;;;
1878;8.83;8.16;;;
1879;8.17;8.483333333;;;
1880;8.12;8.513333333;;;
1881;8.27;8.373333333;;;
1882;8.13;8.186666667;;;
1883;7.98;8.173333333;;;
1884;7.77;8.126666667;;;
1885;7.92;7.96;;;
1886;7.95;7.89;;;
1887;7.91;7.88;;;
1888;8.09;7.926666667;;;
1889;8.32;7.983333333;;;
1890;7.97;8.106666667;;;
1891;8.02;8.126666667;;;
1892;8.07;8.103333333;;;
1893;8.06;8.02;;;
1894;8.16;8.05;;;
1895;8.15;8.096666667;;;
1896;8.21;8.123333333;;;
1897;8.29;8.173333333;;;
1898;8.18;8.216666667;;;
1899;8.4;8.226666667;;;
1900;8.5;8.29;;;
1901;8.54;8.36;;;
1902;8.3;8.48;;;
1903;8.22;8.446666667;;;
1904;8.09;8.353333333;;;
1905;8.23;8.203333333;;;
1906;8.38;8.18;;;
1907;7.95;8.233333333;;;
1908;8.19;8.186666667;;;
1909;8.18;8.173333333;;;
1910;8.22;8.106666667;;;
1911;8.18;8.196666667;;;
1912;8.17;8.193333333;;;
1913;8.3;8.19;;;
1914;8.59;8.216666667;;;
1915;8.59;8.353333333;;;
1916;8.23;8.493333333;;;
1917;8.02;8.47;;;
1918;8.13;8.28;;;
1919;8.38;8.126666667;;;
1920;8.36;8.176666667;;;
1921;8.57;8.29;;;
1922;8.41;8.436666667;;;
1923;8.42;8.446666667;;;
1924;8.51;8.466666667;;;
1925;8.53;8.446666667;;;
1926;8.73;8.486666667;;;
1927;8.52;8.59;;;
1928;8.63;8.593333333;;;
1929;8.24;8.626666667;;;
1930;8.63;8.463333333;;;
1931;8.72;8.5;;;
1932;8.71;8.53;;;
1933;8.34;8.686666667;;;
1934;8.63;8.59;;;
1935;8.52;8.56;;;
1936;8.55;8.496666667;;;
1937;8.7;8.566666667;;;
1938;8.86;8.59;;;
1939;8.76;8.703333333;;;
1940;8.76;8.773333333;;;
1941;8.77;8.793333333;;;
1942;8.73;8.763333333;;;
1943;8.76;8.753333333;;;
1944;8.85;8.753333333;;;
1945;8.58;8.78;;;
1946;8.68;8.73;;;
1947;8.8;8.703333333;;;
1948;8.75;8.686666667;;;
1949;8.59;8.743333333;;;
1950;8.37;8.713333333;;;
1951;8.63;8.57;;;
1952;8.64;8.53;;;
