year;city;country;avg_temp;avg_temp_3sma
1832;Omaha;United States;10.11;
1833;Omaha;United States;10.78;
1834;Omaha;United States;10.87;
1835;Omaha;United States;9;10.58666667
1836;Omaha;United States;8.44;10.21666667
1837;Omaha;United States;9.42;9.436666667
1838;Omaha;United States;8.66;8.953333333
1839;Omaha;United States;10.43;8.84
1840;Omaha;United States;9.65;9.503333333
1841;Omaha;United States;9.51;9.58
1842;Omaha;United States;10.03;9.863333333
1843;Omaha;United States;8.57;9.73
1844;Omaha;United States;9.63;9.37
1845;Omaha;United States;10.47;9.41
1846;Omaha;United States;11.12;9.556666667
1847;Omaha;United States;8.74;10.40666667
1848;Omaha;United States;9.21;10.11
1849;Omaha;United States;9.15;9.69
1850;Omaha;United States;9.55;9.033333333
1851;Omaha;United States;10.27;9.303333333
1852;Omaha;United States;9.42;9.656666667
1853;Omaha;United States;9.58;9.746666667
1854;Omaha;United States;10.96;9.756666667
1855;Omaha;United States;9.73;9.986666667
1856;Omaha;United States;8.71;10.09
1857;Omaha;United States;8.92;9.8
1858;Omaha;United States;10.07;9.12
1859;Omaha;United States;9.32;9.233333333
1860;Omaha;United States;10.5;9.436666667
1861;Omaha;United States;9.96;9.963333333
1862;Omaha;United States;9.31;9.926666667
1863;Omaha;United States;9.84;9.923333333
1864;Omaha;United States;9.48;9.703333333
1865;Omaha;United States;9.73;9.543333333
1866;Omaha;United States;9.05;9.683333333
1867;Omaha;United States;8.85;9.42
1868;Omaha;United States;9.01;9.21
1869;Omaha;United States;8.42;8.97
1870;Omaha;United States;10.16;8.76
1871;Omaha;United States;9.94;9.196666667
1872;Omaha;United States;8.59;9.506666667
1873;Omaha;United States;8.7;9.563333333
1874;Omaha;United States;9.93;9.076666667
1875;Omaha;United States;7.81;9.073333333
1876;Omaha;United States;8.99;8.813333333
1877;Omaha;United States;10.09;8.91
1878;Omaha;United States;11;8.963333333
1879;Omaha;United States;10.29;10.02666667
1880;Omaha;United States;9.99;10.46
1881;Omaha;United States;9.78;10.42666667
1882;Omaha;United States;10.42;10.02
1883;Omaha;United States;8.72;10.06333333
1884;Omaha;United States;8.92;9.64
1885;Omaha;United States;8.65;9.353333333
1886;Omaha;United States;9.19;8.763333333
1887;Omaha;United States;9.55;8.92
1888;Omaha;United States;9.01;9.13
1889;Omaha;United States;10.24;9.25
1890;Omaha;United States;10.13;9.6
1891;Omaha;United States;9.54;9.793333333
1892;Omaha;United States;9.24;9.97
1893;Omaha;United States;8.98;9.636666667
1894;Omaha;United States;10.53;9.253333333
1895;Omaha;United States;9.62;9.583333333
1896;Omaha;United States;10.11;9.71
1897;Omaha;United States;9.82;10.08666667
1898;Omaha;United States;9.68;9.85
1899;Omaha;United States;9.51;9.87
1900;Omaha;United States;10.7;9.67
1901;Omaha;United States;10.43;9.963333333
1902;Omaha;United States;9.57;10.21333333
1903;Omaha;United States;9.46;10.23333333
1904;Omaha;United States;9.19;9.82
1905;Omaha;United States;9.47;9.406666667
1906;Omaha;United States;10.06;9.373333333
1907;Omaha;United States;9.66;9.573333333
1908;Omaha;United States;10.6;9.73
1909;Omaha;United States;9.55;10.10666667
1910;Omaha;United States;10.4;9.936666667
1911;Omaha;United States;10.87;10.18333333
1912;Omaha;United States;9.06;10.27333333
1913;Omaha;United States;10.84;10.11
1914;Omaha;United States;10.6;10.25666667
1915;Omaha;United States;9.6;10.16666667
1916;Omaha;United States;9.44;10.34666667
1917;Omaha;United States;8.58;9.88
1918;Omaha;United States;10.88;9.206666667
1919;Omaha;United States;10.15;9.633333333
1920;Omaha;United States;10.06;9.87
1921;Omaha;United States;12.24;10.36333333
1922;Omaha;United States;10.97;10.81666667
1923;Omaha;United States;10.35;11.09
1924;Omaha;United States;8.86;11.18666667
1925;Omaha;United States;10.33;10.06
1926;Omaha;United States;10.31;9.846666667
1927;Omaha;United States;10.19;9.833333333
1928;Omaha;United States;10.6;10.27666667
1929;Omaha;United States;9;10.36666667
1930;Omaha;United States;11.08;9.93
1931;Omaha;United States;12.29;10.22666667
1932;Omaha;United States;9.67;10.79
1933;Omaha;United States;11.43;11.01333333
1934;Omaha;United States;12.09;11.13
1935;Omaha;United States;10.36;11.06333333
1936;Omaha;United States;10.18;11.29333333
1937;Omaha;United States;9.74;10.87666667
1938;Omaha;United States;11.77;10.09333333
1939;Omaha;United States;11.83;10.56333333
1940;Omaha;United States;9.76;11.11333333
1941;Omaha;United States;11.47;11.12
1942;Omaha;United States;10.4;11.02
1943;Omaha;United States;10.14;10.54333333
1944;Omaha;United States;10.35;10.67
1945;Omaha;United States;9.88;10.29666667
1946;Omaha;United States;11.64;10.12333333
1947;Omaha;United States;10.56;10.62333333
