year;city;country;avg_temp;avg_temp_3sma;;Decade;Avg Temp per 10 yrs
1832;Rio De Janeiro;Brazil;23.05;;;1832;23.00333333
1833;Rio De Janeiro;Brazil;24.11;;;1842;22.99444444
1834;Rio De Janeiro;Brazil;23.27;;;1852;22.91666667
1835;Rio De Janeiro;Brazil;22.73;23.47666667;;1862;22.94777778
1836;Rio De Janeiro;Brazil;22.91;23.37;;1872;22.975
1837;Rio De Janeiro;Brazil;22.29;22.97;;1882;22.98428571
1838;Rio De Janeiro;Brazil;22.81;22.64333333;;1892;23.1
1839;Rio De Janeiro;Brazil;22.54;22.67;;1902;23.158
1840;Rio De Janeiro;Brazil;23.32;22.54666667;;1912;23.3125
1841;Rio De Janeiro;Brazil;22.97;22.89;;1922;23.31
1842;Rio De Janeiro;Brazil;23.41;22.94333333;;1932;23.48
1843;Rio De Janeiro;Brazil;23.55;23.23333333;;1942;23.54
1844;Rio De Janeiro;Brazil;;23.31;;1952;23.635
1845;Rio De Janeiro;Brazil;;23.48;;1962;23.67666667
1846;Rio De Janeiro;Brazil;;23.55;;1972;23.715
1847;Rio De Janeiro;Brazil;;;;1982;23.75
1848;Rio De Janeiro;Brazil;;;;1992;23.59666667
1849;Rio De Janeiro;Brazil;;;;2002;23.57714286
1850;Rio De Janeiro;Brazil;;;;2012;23.42625
1851;Rio De Janeiro;Brazil;23.53;;;;
1852;Rio De Janeiro;Brazil;23.74;23.53;;;
1853;Rio De Janeiro;Brazil;23.76;23.635;;;
1854;Rio De Janeiro;Brazil;23.83;23.67666667;;;
1855;Rio De Janeiro;Brazil;23.89;23.77666667;;;
1856;Rio De Janeiro;Brazil;22.83;23.82666667;;;
1857;Rio De Janeiro;Brazil;23.46;23.51666667;;;
1858;Rio De Janeiro;Brazil;22.37;23.39333333;;;
1859;Rio De Janeiro;Brazil;23.04;22.88666667;;;
1860;Rio De Janeiro;Brazil;23.91;22.95666667;;;
1861;Rio De Janeiro;Brazil;23.04;23.10666667;;;
1862;Rio De Janeiro;Brazil;23.04;23.33;;;
