year;city;country;avg_temp;avg_temp_3sma
1841;Sydney;Australia;16.56;
1842;Sydney;Australia;16.57;
1843;Sydney;Australia;16.88;
1844;Sydney;Australia;16.22;16.67
1845;Sydney;Australia;16.64;16.55666667
1846;Sydney;Australia;17.07;16.58
1847;Sydney;Australia;16.6;16.64333333
1848;Sydney;Australia;16.25;16.77
1849;Sydney;Australia;16.08;16.64
1850;Sydney;Australia;16.51;16.31
1851;Sydney;Australia;16.6;16.28
1852;Sydney;Australia;16.39;16.39666667
1853;Sydney;Australia;16.1;16.5
1854;Sydney;Australia;16.48;16.36333333
1855;Sydney;Australia;16.9;16.32333333
1856;Sydney;Australia;16.76;16.49333333
1857;Sydney;Australia;16.69;16.71333333
1858;Sydney;Australia;17.04;16.78333333
1859;Sydney;Australia;16.26;16.83
1860;Sydney;Australia;16.33;16.66333333
1861;Sydney;Australia;16.72;16.54333333
1862;Sydney;Australia;16.9;16.43666667
1863;Sydney;Australia;16.53;16.65
1864;Sydney;Australia;16.37;16.71666667
1865;Sydney;Australia;16.75;16.6
1866;Sydney;Australia;16.96;16.55
1867;Sydney;Australia;17.38;16.69333333
1868;Sydney;Australia;16.96;17.03
1869;Sydney;Australia;16.91;17.1
1870;Sydney;Australia;16.84;17.08333333
1871;Sydney;Australia;16.75;16.90333333
1872;Sydney;Australia;16.71;16.83333333
1873;Sydney;Australia;16.78;16.76666667
1874;Sydney;Australia;16.75;16.74666667
1875;Sydney;Australia;16.95;16.74666667
1876;Sydney;Australia;17.3;16.82666667
1877;Sydney;Australia;17.04;17
1878;Sydney;Australia;17.24;17.09666667
1879;Sydney;Australia;16.31;17.19333333
1880;Sydney;Australia;16.65;16.86333333
1881;Sydney;Australia;16.63;16.73333333
1882;Sydney;Australia;17.03;16.53
1883;Sydney;Australia;16.46;16.77
1884;Sydney;Australia;16.86;16.70666667
1885;Sydney;Australia;16.95;16.78333333
1886;Sydney;Australia;16.88;16.75666667
1887;Sydney;Australia;16.66;16.89666667
1888;Sydney;Australia;16.72;16.83
1889;Sydney;Australia;17.17;16.75333333
1890;Sydney;Australia;16.77;16.85
1891;Sydney;Australia;16.74;16.88666667
1892;Sydney;Australia;16.6;16.89333333
1893;Sydney;Australia;16.67;16.70333333
1894;Sydney;Australia;16.83;16.67
1895;Sydney;Australia;16.85;16.7
1896;Sydney;Australia;16.85;16.78333333
1897;Sydney;Australia;17.08;16.84333333
1898;Sydney;Australia;17.04;16.92666667
1899;Sydney;Australia;17.06;16.99
1900;Sydney;Australia;16.98;17.06
1901;Sydney;Australia;16.86;17.02666667
1902;Sydney;Australia;16.98;16.96666667
1903;Sydney;Australia;16.87;16.94
1904;Sydney;Australia;16.58;16.90333333
1905;Sydney;Australia;16.57;16.81
1906;Sydney;Australia;16.92;16.67333333
1907;Sydney;Australia;16.87;16.69
1908;Sydney;Australia;16.67;16.78666667
1909;Sydney;Australia;16.47;16.82
1910;Sydney;Australia;16.93;16.67
1911;Sydney;Australia;16.85;16.69
1912;Sydney;Australia;17.1;16.75
1913;Sydney;Australia;17.23;16.96
1914;Sydney;Australia;17.87;17.06
